id,sort,title,content,legend,image
<td valign=""top"" width=""150"">Liste de timestamp (format  YYYYMMDD). Un timestamp par couche, vide si la couche n’est pas ""timeEnabled"".<br>
Cas special YYYYMMDD ""99991231"" signifie que les données de toute les années s’affichent (valeur par defaut).</br></td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?layers_timestamp=19971231,19991231,19981231,20001231,99991231,2014,&amp;X=190000.00&amp;Y=660000.00&amp;zoom=1&amp;lang=fr&amp;topic=luftbilder&amp;bgLayer=ch.swisstopo.pixelkarte-grau&amp;layers=ch.swisstopo.lubis-luftbilder_schwarzweiss,ch.swisstopo.lubis-luftbilder_farbe,ch.swisstopo.lubis-luftbilder_infrarot,ch.swisstopo.lubis-luftbilder-dritte-firmen,ch.swisstopo.lubis-luftbilder-dritte-kantone,ch.swisstopo.lubis-bildstreifen,ch.swisstopo.images-swissimage.metadata&amp;catalogNodes=1179,1180,1186,1184"" target=""_blank"">http://map.geo.admin.ch/?layers_timestamp=19971231,19991231,19981231,20001231,99991231,2014,&amp;X;=190000.00&amp;Y;=660000.00&amp;zoom;=1〈=fr&amp;topic;=luftbilder&amp;bgLayer;=ch.swisstopo.pixelkarte-grau&amp;layers;=ch.swisstopo.lubis-luftbilder_schwarzweiss,ch.swisstopo.lubis-luftbilder_farbe,ch.swisstopo.lubis-luftbilder_infrarot,ch.swisstopo.lubis-luftbilder-dritte-firmen,ch.swisstopo.lubis-luftbilder-dritte-kantone,ch.swisstopo.lubis-bildstreifen,ch.swisstopo.images-swissimage.metadata&amp;catalogNodes;=1179,1180,1186,1184</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">time</td>
<td valign=""top"" width=""150"">année (format : YYYY). Peut être appliqué à toutes les couches timeEnabled.<br>
Cas spécial WMS:  YYYY vide signifie que les données de toute les années s’affichent (valeur par defaut)</br></td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?layers=ch.swisstopo.lubis-luftbilder_farbe&amp;time=1981"" target=""_blank"">http://map.geo.admin.ch/ 
		<br>?layers=ch.swisstopo.lubis-luftbilder_farbe&amp;time;=1981</br></a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">(layer    bod id)</td>
<td valign=""top"" width=""150"">Layer bod id des features qui doivent être accentués</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?ch.bafu.bundesinventare-moorlandschaften=212,213"" target=""_blank"">http://map.geo.admin.ch/?ch.bafu.bundesinventare-moorlandschaften=212,213</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">crosshair</td>
<td valign=""top"" width=""150"">crosshair=, types possibles:    cross, circle, bowl, point et marker</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?Y=538700&amp;X=165890&amp;zoom=6&amp;crosshair=circle"" target=""_blank"">http://map.geo.admin.ch/?Y=538700&amp;<br/>X=165890&amp;zoom=6&amp;crosshair=circle</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">swisssearch</td>
<td valign=""top"" width=""150"">swisssearch=<br>Adresse ou coordonnées WGS84</br></td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?swisssearch=berges 37 payerne"" target=""_blank"">http://map.geo.admin.ch/?swisssearch=<br/>berges 37 payerne</a>
<br><br>
<a href=""http://map.geo.admin.ch/?swisssearch=7.04983,46.42928"" target=""_blank"">http://map.geo.admin.ch/?swisssearch=7.04983,46.42928</a></br></br></td>
</tr>
<tr>
<td valign=""top"" width=""100"">swipe_ratio</td>
<td valign=""top"" width=""150"">La valeur entre 0 et 1 définit la position relative de l'outil ""swipe"" de la fonction de comparaison (au moins 2 couches nécessaires)</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?swipe_ratio=0.5&amp;bgLayer=ch.swisstopo.pixelkarte-farbe&amp;layers=ch.swisstopo.geologie-geotechnik-gk200"" target=""_blank"">http://map.geo.admin.ch/?swipe_ratio=0.5&amp;bgLayer;=ch.swisstopo.pixelkarte-farbe&amp;layers;=ch.swisstopo.geologie-geotechnik-gk200</a></td>
</tr>
</table>
",,/help/img/54f.png
55,32,Mode offline pour mobile,"Offline pour une zone d’intérêt de 10x10km, carte à l'échelle 1:25'000 sans tooltip. <br><u>Actuellement disponible uniquement sur appareils mobiles.</u>

1. S’assurer d’avoir une connexion Internet stable, validez le téléchargement avec ""ok"".
Ne fermez pas le navigateur. Ne verrouillez pas votre appareil . Si aucune progression n’est visible, ou des problèmes sont rencontrés, veuillez effacer le cache du navigateur de votre appareil. Désactivez le mode «privé». Attendre la fin du téléchargement, validez avec ""ok"".

2. S'il n'y a pas de connexion Internet - l'application est en mode déconnecté
3. Fonctions offline: accès et représentation de la zone d'intérêt stockée

<b>Visualiser la zone d’intérêt:</b> les données situées dans le carré rouge sont disponibles
<b>Zoom sur la zone d’intérêt:</b> centré sur la zone
<b>Effacer la carte:</b> la zone d’intérêt peut être supprimée et en mode online un nouvel extrait de carte peut être stocké

<b>Instructions sur Slideshare: </b> [http://fr.slideshare.net/swiss_geoportal/mobilegeoadminch-re1/32]",,/help/img/55.png
59,33,FONCTIONS MESURER & DESSINER,#,,
66,34,"Toutes les fonctions ""dessiner/mesurer""","1- <a href=""/help/?id=91&lang=fr"" target=""_self"">Ajouter un <b>symbole</b></a><br>
2- <a href=""/help/?id=92&lang=fr"" target=""_self"">Ajouter du <b>texte</b></a><br>
3- <a href=""/help/?id=93&lang=fr"" target=""_self"">Ajouter un <b>tracé / polygone</b></a><br>
4- <a href=""/help/?id=94&lang=fr"" target=""_self""><b>Mesurer</b></a><br>
5- <a href=""/help/?id=95&lang=fr"" target=""_self""><b>Partager</b> un dessin / KML</a>",,/help/img/90f.png
91,35,Ajouter un symbole,"Dans « Dessiner & mesurer sur la carte », sélectionner « Symbole ». Cliquer avec la souris sur l'endroit désiré pour ajouter un symbole.

Une fois placé, le symbole peut être modifié (taille et icône) et recevoir une description au format HTML ou texte  (fenêtre placée en bas à gauche). Cette description est affichée lorsqu'un clic est fait sur le symbole quand le dessin est partagé ou affiché par KML.

On peut modifier tout élément en cliquant dessus. On peut sélectionner plusieurs éléments à modifier/supprimer en cliquant sur les objets avec la souris en maintenant la touche SHIFT, ou les supprimer en utilisant les options du menu déroulant « Plus… » .","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/91f.png
92,36,Ajouter du texte,"Dans ""Dessiner & mesurer sur la carte"", sélectionner ""Texte"". Cliquer avec la souris sur l'endroit désiré pour ajouter du  texte.

Une fois placé, le texte et sa couleur peuvent être modifiés (fenêtre placée en bas à gauche). 

On peut modifier tout élément en cliquant dessus. On peut sélectionner plusieurs éléments à modifier/supprimer en cliquant sur les objets avec la souris en maintenant la touche SHIFT, ou les supprimer en utilisant les options du menu déroulant « Plus… » .","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/92f.png
93,37,Ajouter un tracé / polygone,"Dans ""Dessiner & mesurer sur la carte"", sélectionner ""Trait"". Cliquer avec la souris pour commencer le tracé, les clics suivants ajoutent des segments, double-clic pour terminer.

De nouveaux points peuvent être ajoutés au tracé : cliquer sur un segment, positionner le nouveau point et relâcher la souris pour valider sa position.
La fenêtre en bas à gauche, permet de:
-	modifier la <b>couleur</b> du trait et de lui donner une <b>description</b> au format HTML ou texte. La description est affichée lorsqu'un clic est fait sur le symbole quand le dessin est partagé ou affiché par KML.
-	afficher le <b>profil</b> du tracé 
-	afficher les <b>mesures</b> du tracé (distance, surface, azimut)

On peut modifier tout élément en cliquant dessus. On peut sélectionner plusieurs éléments à modifier/supprimer en cliquant sur les objets avec la souris en maintenant la touche SHIFT, ou les supprimer en utilisant les options du menu déroulant ""Plus…"" .","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/93f.png
94,38,Mesurer,"Dans ""Dessiner & mesurer sur la carte"", sélectionner ""Mesurer"". Cliquer avec la souris pour définir le point de départ de la mesure, clics suivants pour ajouter des segments ou créer une surface. Double-clic pour terminer un tracé ou clic sur le point de départ pour fermer une surface. 

La mesure de la distance, de la surface et du profil sont automatiquement affichés.

On peut modifier tout élément en cliquant dessus. On peut sélectionner plusieurs éléments à modifier/supprimer en cliquant sur les objets avec la souris en maintenant la touche SHIFT, ou les supprimer en utilisant les options du menu déroulant ""Plus…"" .","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/94f.png
95,39,Partager un dessin / KML,"Dans ""Dessiner & mesurer sur la carte"", les éléments de dessin (symboles, textes, tracés) peuvent être :

- <b>Share Link</b>: partagés avec d’autres utilisateurs (1).
- <b>Admin Link</b> : être à nouveau édités ultérieurement. Ce lien doit être sauvegardé, dans le cas où vous désirez modifier/supprimer vos éléments de dessin (2).
- <b>Télécharger</b> vos éléments de dessin sous la forme d’un jeu de données au format KML, en utilisant l’option du menu déroulant « Plus… » (3).","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/95f.png
60,40,FONCTIONS COMPLEMENTAIRES,#,,
62,41,WMS Import,"Seuls des services WMS qui supportent la ""Projection Suisse EPSG 21781"" et qui respectent le standard <a href=""http://www.opengeospatial.org/standards/wms"">WMS OGC</a> peuvent être représentés. Un outil de test simple est à disposition sur le site suivant: <a href=""//www.geo.admin.ch/internet/geoportal/fr/home/services/geoservices/ech0056.html"">Checkservice</a>
Les jeux de données WMS sont généralement visible à une échelle déterminée, de ce fait, il faut être centré dans la portion de carte correspondante et également choisir l'échelle appropriée.
La rapidité de représentation des jeux de données WMS, de même que leur disponibilité, sont dépendantes des responsables de ces jeux de données.
Les jeux de données peuvent être sauvegardés au format PDF en utilisant la fonction ""Impression"".
De même, un jeux de données peut être transmis par email au moyen de la fonction Permalink ""Lien"".
Veuillez vous conformer aux conditions d'utilisation des jeux de données du fournisseur.",,/help/img/63f.png
63,42,KML Import,"<p>Il est désormais possible de visualiser des fichers KML enregistré online (via URL) ou localement (cette fonctionalité n’est pas disponible avec IE).</p><p>Seuls les fichiers KML ne contenant aucune erreur et qui respectent le   
<a href =""http://opengeospatial.org/standards/kml""><b>standard KML OGC</b></a></b> peuvent être représentés.</p><p>Un outil de test simple à disposition: <a href=""http://kmlvalidator.com/home.htm""><b>Lien</b></a></p>
<img src=""/help/img/64f.png""><br /><br /><h2>Generation de KML et mise en ligne</h2><p><b>Comment créer un fichier .kml</b></p><p><a href=""http://www.swisstopo.admin.ch/internet/swisstopo/de/home/apps/calc/kml.html"">Générateur de fichier KML en ligne</a><br>
<a href=""/help/?id=67"">Dessin</a></p>
</p><p><b>Comment publier un fichier .kml en ligne</b><br />Afin de distribuer vos propres fichiers KML au moyen d’un URL stable sans avoir votre propre serveur, vous pouvez utiliser les services libres suivants:</p><p><b>1. <u>Publier avec Google Docs</u></b></p>
<ul><li>Créer un acompte: <a href=""https://docs.google.com"">https://docs.google.com</a></li>
<li>Téléverser (Uploader) votre fichier: cliquer sur bouton ""Upload > Files…""</li></ul>
<img src=""/help/img/upload.png"">
<ul><li>Dans la fenêtre ""File Upload"" sélectionnez votre fichier KML et cliquez sur ""Open""</li> 
<li>Dans la fenêtre ""Upload settings"" décochez ""Convert documents, presentations, spreadsheets, and drawings to the corresponding Google Docs format"" et ""Convert text from PDF and image files to Google documents"" puis cliquez sur ""Start upload""</li> 
<li>Sélectionnez votre document en activant la case à cocher sur la gauche et cliquez sur le bouton ""Share"" puis dans la fenêtre ""Sharing settings"" appuyez sur ""Change…"". Sélectionnez ""Public on the web"" ou ""Anyone with the link"" et cliquez sur ""Save"", copiez ensuite le ""Link to share"" puis cliquez sur ""Done""</li></ul>
<img src=""/help/img/sharing.png"">
<ul><li>Modifiez le lien copié en remplaçant le mot ""leaf"" par ""uc"" entre ""https://docs.google.com/"" et ""?id=…"", le lien est maintenant prêt à être utilisé dans la fonction ""KML import"" de map.geo.admin.ch</li> </ul><p>Exemple:<br /><a href=""//map.geo.admin.ch/?Y=600769&X=198300.5&zoom=7&bgOpacity=0&bgLayer=ch.swisstopo.pixelkarte-grau&layers=KML||https://docs.google.com/uc?id=0B4uRuJ1hajZmZjJlZDNiMGItNmU0Zi00N2FlLWJiZDItM2UwZDA3YmQwYzk3&hl=fr&layers_opacity=1&layers_visibility=true"">//map.geo.admin.ch/?Y=600769&X=198300.5&zoom=7&bgOpacity=0&bgLayer=ch.swisstopo.pixelkarte-grau&layers=KML||https://docs.google.com/uc?id=0B4uRuJ1hajZmZjJlZDNiMGItNmU0Zi00N2FlLWJiZDItM2UwZDA3YmQwYzk3&hl=fr&layers_opacity=1&layers_visibility=true</a></p><p><b>2. <u>Publier avec Dropbox</u></b></p>
<ul><li>Créer un acompte: <a href=""http://www.dropbox.com"">http://www.dropbox.com</a> (Vous pouvez l'installer ou l'utiliser uniquement à travers l'interface du site Web)</li> 
<li>Déplacez votre fichier KML dans le dossier publique et cliquez sur votre fichier et un menu va s'ouvrir. Choisisez ""Dropbox>Copier le lien publique"" (si Dropbox est installé sur votre ordinateur) ou ""Plus>Copier le lien publique"" (sur l'interface Web). (Plus d'information à propos des documents partagés sur Dropbox: <a href=""http://www.dropbox.com/help/16"">http://www.dropbox.com/help/16</a>
<li>Modifiez le lien: ajoutez le mot dl=1: http://dl.dropbox.com/u/44486020/swisstopo.kml?<b>dl=1</b>. </li>
<li>Le lien peut être utilisé dans la fonction ""KML import"" de map.geo.admin.ch</li></ul><p>Exemple:<br /><a href=""//map.geo.admin.ch/?Y=600769&X=198300.5&zoom=7&bgOpacity=0&bgLayer=ch.swisstopo.pixelkarte-grau&layers=KML||http://dl.dropbox.com/u/44486020/swisstopo.kml&layers_opacity=1&layers_visibility=true"">//map.geo.admin.ch/?Y=600769&X=198300.5&zoom=7&bgOpacity=0&bgLayer=ch.swisstopo.pixelkarte-grau&layers=KML||http://dl.dropbox.com/u/44486020/swisstopo.kml&layers_opacity=1&layers_visibility=true</a></p><p><b>3. <u>Publier avec Gist</u></b></p><p><a href=""https://github.com/"">Github</a> mis à disposition par <a href=""https://gist.github.com/"">Gist</a>.</p>
<ul><li>Glissez votre fichier KML dans la fenêtre de texte de Gist (1). Le code est alors visible dans cette zone.</li>
<li>Cliquez sur “Create Public Gist” (2)</li>
<li>Cliquez sur “Raw” (3)</li>
<li>Un URL avec votre fichier KML a été généré</li>
<li>Vous pouvez maintenant importer et visualiser votre KML dans map.geo.admin.ch en utilisant cet URL (5). De plus vous pouvez créer des permaliens map.geo.admin.ch avec votre KML et le partager avec d’autres utilisateurs ou sur votre propre page web.</li></ul>
<img src=""/help/img/64all.png"">",,/help/img/blank.png
65,43,Comparer,"Il est possible de comparer deux jeux de données. Sélectionner ""Comparer"" dans les outils et le curseur apparait en rouge au centre de la carte: 

<img src=""/help/img/65a.png"">

La couche sélectionnée qui est en première position dans la liste du choix de jeux de données est présentée à gauche, toutes les autres couches sont à droite. La comparaison se fait en glissant le curseur rouge à gauche ou à droite au moyen de la souris:",,/help/img/65b.png
68,44,Information objet,"Pour obtenir les informations sur plusieurs objets, tracer un rectangle avec CTRL + clic souris, tous les objets inclus seront rassemblés dans une seule fenêtre d'information:",,/help/img/68.png
69,45,Raccourcis clavier,"
<table align=""center"" width=""550"">
<thead>
<tr>
<th>Browser</th>
<th>Windows</th>
<th>Linux</th>
<th>Mac</th>
</tr>
</thead>
<tbody>
<tr>
<td>Chrome</td>
<td>[Alt] + accesskey</td>
<td>[Alt] + accesskey</td>
<td>[Control] [Alt] + accesskey</td>
</tr>
<tr>
<td>Firefox</td>
<td>[Alt] [Shift] + accesskey</td>
<td>[Alt] [Shift] + accesskey</td>
<td>[Control] [Alt] + accesskey</td>
</tr>
<tr>
<td>Safari</td>
<td>[Alt] + accesskey</td>
<td></td>
<td>[Control] [Alt] + accesskey</td>
</tr>
<tr>
<td>Opera 15 or newer</td>
<td>[Alt] + accesskey</td>
<td>[Alt] + accesskey</td>
<td>[Alt] + accesskey</td>
</tr>
<tr>
<td>Opera 12.1 or older</td>
<td>[Shift] [Esc] + accesskey</td>
<td>[Shift] [Esc] + accesskey</td>
<td>[Shift] [Esc] + accesskey</td>
</tr>
</tbody>
</table>
<table width=""344"">
<thead>
<tr>
<th width=""154"">Tools</th>
<th width=""178"">Letter (accesskey)</th>
</tr>
</thead>
<tbody>
<tr>
<td>WMS Import</td>
<td>w</td>
</tr>
<tr>
<td>KML Import</td>
<td>k</td>
</tr>
<tr>
<td>Compare</td>
<td>c</td>
</tr>
<tr>
<td>Measure</td>
<td>m</td>
</tr>
<tr>
<td>Draw</td>
<td>r</td>
</tr>
<tr>
<td>Information object</td>
<td>s</td>
</tr>
<tr>
<td>Print</td>
<td>p   (with print menu already opened)</td>
</tr>
</tbody>
</table>
",,/help/img/blank.png
70,46,Annoncer un problème,"<p>Cet outil vous permet d'envoyer des commentaires, et des suggestions ou des signalisations de problèmes sur map.geo.admin.ch. Ceux-ci sont tous bienvenus.<br />Ouvrez map.geo.admin.ch et effectuez un zoom sur la zone présentant un problème. Il peut s'agir d'une route, une adresse, un endroit. Il est possible d'utiliser le champ de saisie de recherche pour situer la zone. Cliquez en-haut à droite sur ""Annoncer un problème"".</p><p><b>Votre e-mail</b><br />Saisissez votre adresse email. Champ optionnel.</p><p><b>Saisissez votre feedback ici…</b><br />Saisissez votre commentaire au description du problème. Champ obligatoire.</p>
<img src=""/help/img/70f.png""><p><b>Votre dessin</b><br />Il est possible d'ajouter un dessin au moyen des outils mis à disposition. Vos éléments graphiques sont automatiquement attachés au message. Champ optionnel.</p><p><b>Joindre un fichier</b><br />Vous pouvez ajouter des informations supplémentaires en attachant un fichier au moyen du champ  (""Browse""). Champ optionnel.</p><p>Cliquez sur ""Envoyer""</p><p><b>Quel format de fichier peut être attaché ?</b><br />Les formats suivants sont supportés: .pdf, .zip, .png, .png, .kml, .kmz oder gpx. </p><p><b>Quelle suite est donnée à mon rapport ?</b><br />En cas de problèmes liés aux données, vos informations sont transmises au responsable des données concernées.</p>",,/help/img/blank.png
80,47,INFOS TECHNIQUES ET LÉGALES,#,,
81,48,Informations & conditions,"<b1>Informations techniques et support<b2>
Spécifications concernant le stockage de données: 
api3.geo.admin.ch [//api3.geo.admin.ch]

<b1>Mentions légales / Conditions d'utilisation<b2>
Les dispositions légales générales http://www.disclaimer.admin.ch s'appliquent pour 
map.geo.admin.ch [http://www.disclaimer.admin.ch]",,/help/img/81.png
